dataset,PFD
seismic,1.025855841443894
Fc5.,1.0221021356163598
Fc3.,1.0206634593598554
Fc1.,1.0200710686901673
Fcz.,1.0201633662766947
Fc2.,1.0202292596843197
Fc4.,1.0207291419113216
Fc6.,1.0235277134867589
C5..,1.0230237624717473
C3..,1.0209260239179623
C1..,1.0204530892283208
Cz..,1.0206503195320147
C2..,1.0207028722074065
C4..,1.0208079245089459
C6..,1.023688894626174
Cp5.,1.022394787493714
Cp3.,1.0208604241630748
Cp1.,1.0205057083577438
Cpz.,1.020624036557034
Cp2.,1.0206897356973321
Cp4.,1.0207291419113216
Cp6.,1.021521719252909
Fp1.,1.023559962946023
Fpz.,1.0211750520135747
Fp2.,1.0216719209299019
Af7.,1.0225376630302683
Af3.,1.0224662415446755
Afz.,1.020360963021629
Af4.,1.0203346312508157
Af8.,1.0227906227735208
F7..,1.0226090519854014
F5..,1.021815457272699
F3..,1.0200380920170482
F1..,1.0204662456746088
Fz..,1.0204136132306458
F2..,1.0203082950334454
F4..,1.0201106314906498
F6..,1.0210964544410712
F8..,1.0221476951721302
Ft7.,1.0233340775552193
Ft8.,1.0244859197255223
T7..,1.0246269066868645
T8..,1.026991983536737
T9..,1.023559962946023
T10.,1.027571478628715
Tp7.,1.0225376630302683
Tp8.,1.0240750562939671
P7..,1.0222647874914261
P5..,1.0208932274852611
P3..,1.020380708932748
P1..,1.0204596675901578
Pz..,1.0203017102841214
P2..,1.0204201932573784
P4..,1.0205385863039431
P6..,1.0208407388613936
P8..,1.0224142781937768
Po7.,1.0207751032581522
Po3.,1.0206174651216082
Poz.,1.0203412146103148
Po4.,1.0207094400478733
Po8.,1.0218415406486714
O1..,1.018713265072227
Oz..,1.019575684223866
O2..,1.019483037678858
Iz..,1.0213909917274118
